Среднее по полю comparisons;Названия столбцов;
Названия строк;optimized;Общий итог
100;241,6666667;241,6666667
1000;2177;2177
10000;21430,33333;21430,33333
100000;217315,6667;217315,6667
Общий итог;60291,16667;60291,16667
